s,p,o
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,Biomolekül
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,Biomolecule
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,βιομόριο
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,生体物質
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,Biomolecuul
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,biomolecola
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,생체 분자
http://dbpedia.org/ontology/Biomolecule,http://www.w3.org/2000/01/rdf-schema#label,biomolécule
http://dbpedia.org/ontology/SongWriter,http://www.w3.org/2000/01/rdf-schema#label,songwriter
http://dbpedia.org/ontology/SongWriter,http://www.w3.org/2000/01/rdf-schema#label,Liedschreiber
http://dbpedia.org/ontology/SongWriter,http://www.w3.org/2000/01/rdf-schema#label,songwriter (tekstdichter)
http://dbpedia.org/ontology/SongWriter,http://www.w3.org/2000/01/rdf-schema#label,auteur-compositeur
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,schriftsteller
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,writer
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,rakstnieks
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,συγγραφέας
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,著作家
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,auteur
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,작가
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,écrivain
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,pisarz
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,scríbhneoir
http://dbpedia.org/ontology/Writer,http://www.w3.org/2000/01/rdf-schema#label,escritor
http://dbpedia.org/ontology/Square,http://www.w3.org/2000/01/rdf-schema#label,Platz
http://dbpedia.org/ontology/Square,http://www.w3.org/2000/01/rdf-schema#label,square
http://dbpedia.org/ontology/Square,http://www.w3.org/2000/01/rdf-schema#label,正方形
http://dbpedia.org/ontology/Square,http://www.w3.org/2000/01/rdf-schema#label,plein
http://dbpedia.org/ontology/Square,http://www.w3.org/2000/01/rdf-schema#label,place
http://dbpedia.org/ontology/Square,http://www.w3.org/2000/01/rdf-schema#label,cearnóg
